"shipping_id","order_id","shipping_date","shipping_method","shipping_status","flag_shiptype"
968,3124,"2024-02-02","Express","Pending","Fast"
969,3574,"2025-03-17","Express","Delivered","Fast"
970,2085,"2024-11-22","Standard","Lost","Normal"
971,306,"2024-10-31","Express","Shipped","Fast"
972,4160,"2024-04-24","Express","Delivered","Fast"
973,3561,"2024-06-06","Express","Delivered","Fast"
974,2966,"2025-05-05","Standard","Pending","Normal"
975,2360,"2025-01-20","Standard","Shipped","Normal"
976,1440,"2024-04-17","Same-day","Lost","Fast"
977,2329,"2024-01-22","Same-day","Pending","Fast"
978,2041,"2024-12-18","Express","Pending","Fast"
979,4605,"2025-05-06","Express","Delivered","Fast"
980,1447,"2024-11-22","Standard","Lost","Normal"
981,3144,"2024-02-20","Same-day","Lost","Fast"
982,1095,"2024-07-22","Express","Lost","Fast"
983,4543,"2025-05-07","Standard","Delivered","Normal"
984,2702,"2025-02-08","Express","Shipped","Fast"
985,2815,"2023-11-06","Express","Pending","Fast"
986,171,"2023-12-18","Express","Shipped","Fast"
987,3685,"2024-04-11","Same-day","Delivered","Fast"
988,2204,"2023-09-30","Express","Pending","Fast"
989,1673,"2023-11-30","Same-day","Shipped","Fast"
990,2786,"2024-10-13","Same-day","Lost","Fast"
991,178,"2024-04-13","Express","Lost","Fast"
992,4732,"2024-03-31","Express","Pending","Fast"
993,2846,"2025-03-03","Same-day","Delivered","Fast"
994,1337,"2024-12-27","Same-day","Lost","Fast"
995,4583,"2024-07-13","Same-day","Pending","Fast"
996,4285,"2024-07-10","Express","Delivered","Fast"
997,3058,"2023-11-09","Express","Lost","Fast"
998,4988,"2024-12-23","Express","Shipped","Fast"
999,2229,"2025-01-24","Express","Delivered","Fast"
1000,3929,"2024-04-21","Same-day","Shipped","Fast"
1001,68,"2023-12-29","Express","Shipped","Fast"
1002,2038,"2025-03-20","Same-day","Pending","Fast"
1003,4664,"2023-08-14","Same-day","Shipped","Fast"
1004,3498,"2025-03-22","Express","Shipped","Fast"
1005,4957,"2024-09-23","Express","Lost","Fast"
1006,3457,"2024-07-07","Standard","Delivered","Normal"
1007,2322,"2024-09-30","Express","Pending","Fast"
1008,2677,"2025-02-27","Express","Pending","Fast"
1009,1717,"2024-01-19","Same-day","Pending","Fast"
1010,2644,"2025-02-04","Standard","Shipped","Normal"
1011,4923,"2024-10-25","Same-day","Delivered","Fast"
1012,788,"2024-08-31","Same-day","Delivered","Fast"
1013,3853,"2025-04-23","Express","Lost","Fast"
1014,3317,"2025-05-24","Standard","Delivered","Normal"
1015,2689,"2023-12-15","Same-day","Shipped","Fast"
1016,368,"2025-01-15","Same-day","Shipped","Fast"
1017,2119,"2024-05-10","Same-day","Pending","Fast"
1018,3752,"2024-12-05","Standard","Lost","Normal"
1019,1021,"2024-05-15","Express","Delivered","Fast"
1020,4502,"2025-03-07","Standard","Shipped","Normal"
1021,4285,"2023-11-23","Express","Lost","Fast"
1022,1650,"2024-09-10","Same-day","Shipped","Fast"
1023,38,"2025-06-15","Express","Shipped","Fast"
1024,309,"2023-08-26","Express","Pending","Fast"
1025,4849,"2024-10-11","Standard","Delivered","Normal"
1026,4823,"2024-07-12","Same-day","Pending","Fast"
1027,2788,"2023-08-28","Standard","Lost","Normal"
1028,2245,"2024-05-22","Same-day","Delivered","Fast"
1029,1118,"2025-01-21","Express","Pending","Fast"
1030,4510,"2025-01-18","Standard","Pending","Normal"
1031,4167,"2025-05-25","Same-day","Delivered","Fast"
1032,3731,"2024-02-10","Express","Lost","Fast"
1033,1739,"2024-01-31","Standard","Lost","Normal"
1034,2251,"2024-12-26","Same-day","Delivered","Fast"
1035,2334,"2024-06-16","Same-day","Shipped","Fast"
1036,3293,"2024-03-28","Express","Delivered","Fast"
1037,3091,"2025-02-09","Standard","Pending","Normal"
1038,4230,"2024-03-10","Standard","Lost","Normal"
1039,3553,"2024-01-12","Express","Pending","Fast"
1040,3521,"2024-12-30","Same-day","Delivered","Fast"
1041,3687,"2024-12-12","Same-day","Shipped","Fast"
1042,4826,"2023-12-06","Same-day","Pending","Fast"
1043,4415,"2025-05-22","Same-day","Pending","Fast"
1044,4747,"2023-08-29","Standard","Shipped","Normal"
1045,2116,"2024-07-06","Standard","Shipped","Normal"
1046,3744,"2024-02-02","Express","Delivered","Fast"
1047,135,"2023-09-30","Same-day","Delivered","Fast"
1048,3348,"2025-03-20","Express","Shipped","Fast"
1049,873,"2023-09-14","Standard","Shipped","Normal"
1050,3749,"2024-10-13","Standard","Shipped","Normal"
1051,183,"2024-02-01","Same-day","Shipped","Fast"
1052,3550,"2024-09-06","Same-day","Pending","Fast"
1053,4787,"2024-08-27","Same-day","Shipped","Fast"
1054,422,"2024-06-03","Standard","Lost","Normal"
1055,697,"2025-01-31","Standard","Shipped","Normal"
1056,2137,"2024-09-29","Express","Lost","Fast"
1057,3608,"2023-09-16","Express","Shipped","Fast"
1058,673,"2025-06-16","Express","Pending","Fast"
1059,662,"2025-04-29","Express","Lost","Fast"
1060,216,"2024-09-20","Same-day","Pending","Fast"
1061,1761,"2024-04-19","Express","Shipped","Fast"
1062,4290,"2023-08-14","Express","Shipped","Fast"
1063,2136,"2024-04-13","Standard","Delivered","Normal"
1064,3671,"2024-01-22","Standard","Pending","Normal"
1065,841,"2024-07-10","Standard","Pending","Normal"
1066,2759,"2024-04-28","Standard","Shipped","Normal"
1067,3213,"2025-07-06","Same-day","Delivered","Fast"
1068,3936,"2023-08-09","Standard","Delivered","Normal"
1069,2937,"2024-01-12","Express","Pending","Fast"
1070,3432,"2024-03-07","Same-day","Lost","Fast"
1071,3541,"2023-12-27","Express","Lost","Fast"
1072,2669,"2024-02-18","Same-day","Pending","Fast"
1073,1,"2024-11-15","Express","Delivered","Fast"
1074,2775,"2025-01-17","Express","Pending","Fast"
1075,628,"2023-09-17","Standard","Delivered","Normal"
1076,4447,"2024-08-10","Standard","Pending","Normal"
1077,4139,"2024-08-13","Same-day","Delivered","Fast"
1078,3461,"2024-02-27","Same-day","Lost","Fast"
1079,164,"2024-10-11","Same-day","Shipped","Fast"
1080,786,"2025-02-01","Standard","Shipped","Normal"
1081,3149,"2024-01-21","Express","Lost","Fast"
1082,4026,"2025-06-22","Standard","Shipped","Normal"
1083,2397,"2024-06-02","Standard","Delivered","Normal"
1084,2137,"2024-08-13","Same-day","Delivered","Fast"
1085,4612,"2023-11-06","Express","Delivered","Fast"
1086,1481,"2025-01-26","Same-day","Pending","Fast"
1087,1675,"2025-07-13","Standard","Lost","Normal"
1088,2328,"2024-06-17","Standard","Shipped","Normal"
1089,1700,"2024-07-23","Same-day","Delivered","Fast"
1090,3015,"2023-09-22","Standard","Delivered","Normal"
1091,3564,"2024-07-15","Standard","Delivered","Normal"
1092,4715,"2024-02-28","Same-day","Pending","Fast"
1093,4237,"2024-02-24","Express","Lost","Fast"
1094,2685,"2023-08-30","Express","Delivered","Fast"
1095,153,"2024-06-07","Standard","Pending","Normal"
1096,2280,"2023-10-10","Same-day","Lost","Fast"
1097,2656,"2023-07-23","Same-day","Pending","Fast"
1098,137,"2023-08-07","Standard","Delivered","Normal"
1099,2746,"2024-07-14","Same-day","Shipped","Fast"
1100,3351,"2024-05-13","Standard","Shipped","Normal"
1101,3347,"2023-10-04","Express","Delivered","Fast"
1102,4724,"2023-09-14","Standard","Delivered","Normal"
1103,1879,"2023-10-24","Express","Shipped","Fast"
1104,3969,"2024-09-10","Same-day","Pending","Fast"
1105,2812,"2024-02-07","Standard","Pending","Normal"
1106,2547,"2024-07-02","Same-day","Pending","Fast"
1107,374,"2023-09-10","Express","Pending","Fast"
1108,1112,"2025-05-18","Standard","Delivered","Normal"
1109,2166,"2023-12-12","Standard","Delivered","Normal"
1110,1458,"2024-02-08","Same-day","Pending","Fast"
1111,4596,"2024-12-13","Standard","Delivered","Normal"
1112,3561,"2023-12-07","Same-day","Shipped","Fast"
1113,591,"2024-09-23","Standard","Pending","Normal"
1114,3864,"2024-04-07","Express","Delivered","Fast"
1115,4400,"2025-01-02","Same-day","Pending","Fast"
1116,4816,"2025-02-25","Same-day","Shipped","Fast"
1117,1375,"2025-03-12","Standard","Delivered","Normal"
1118,2713,"2024-03-17","Express","Shipped","Fast"
1119,3652,"2025-01-18","Express","Lost","Fast"
1120,1019,"2024-09-28","Same-day","Delivered","Fast"
1121,2464,"2024-01-11","Express","Shipped","Fast"
1122,273,"2024-07-12","Same-day","Lost","Fast"
1123,1066,"2024-10-20","Same-day","Shipped","Fast"
1124,2707,"2025-02-12","Standard","Lost","Normal"
1125,457,"2023-12-30","Same-day","Pending","Fast"
1126,1972,"2023-12-20","Standard","Delivered","Normal"
1127,4415,"2024-07-14","Express","Delivered","Fast"
1128,2652,"2024-11-09","Express","Delivered","Fast"
1129,4019,"2024-07-31","Same-day","Pending","Fast"
1130,3505,"2025-01-24","Express","Delivered","Fast"
1131,1413,"2023-09-01","Standard","Pending","Normal"
1132,3084,"2023-09-19","Standard","Delivered","Normal"
1133,2465,"2024-02-21","Same-day","Lost","Fast"
1134,4213,"2024-06-07","Standard","Lost","Normal"
1135,585,"2024-10-20","Standard","Lost","Normal"
1136,3370,"2024-07-23","Express","Lost","Fast"
1137,2043,"2024-02-06","Express","Delivered","Fast"
1138,4238,"2024-03-22","Express","Delivered","Fast"
1139,2356,"2024-12-28","Standard","Delivered","Normal"
1140,4694,"2023-10-11","Standard","Lost","Normal"
1141,2003,"2023-07-27","Same-day","Delivered","Fast"
1142,3336,"2025-05-14","Same-day","Pending","Fast"
1143,4582,"2023-08-31","Standard","Shipped","Normal"
1144,425,"2023-08-16","Standard","Delivered","Normal"
1145,3157,"2023-12-24","Standard","Lost","Normal"
1146,1605,"2023-10-23","Express","Delivered","Fast"
1147,2647,"2024-07-17","Same-day","Shipped","Fast"
1148,4196,"2025-07-03","Same-day","Shipped","Fast"
1149,2874,"2024-06-27","Standard","Lost","Normal"
1150,1809,"2025-03-03","Express","Shipped","Fast"
1151,156,"2025-02-28","Same-day","Lost","Fast"
1152,693,"2023-08-08","Same-day","Pending","Fast"
1153,179,"2024-11-07","Express","Lost","Fast"
1154,651,"2024-06-24","Express","Delivered","Fast"
1155,1158,"2024-10-11","Standard","Lost","Normal"
1156,3599,"2023-11-21","Standard","Pending","Normal"
1157,4500,"2025-03-14","Standard","Lost","Normal"
1158,4736,"2023-07-22","Same-day","Delivered","Fast"
1159,3092,"2023-10-05","Same-day","Delivered","Fast"
1160,4925,"2024-09-15","Same-day","Pending","Fast"
1161,2732,"2025-03-05","Express","Lost","Fast"
1162,689,"2024-10-08","Same-day","Lost","Fast"
1163,1708,"2024-07-24","Standard","Pending","Normal"
1164,13,"2023-10-20","Express","Delivered","Fast"
1165,2409,"2024-07-02","Express","Delivered","Fast"
1166,4127,"2025-01-13","Same-day","Lost","Fast"
1167,3022,"2023-11-04","Express","Shipped","Fast"
1168,1208,"2023-09-15","Standard","Shipped","Normal"
1169,4012,"2024-06-10","Standard","Pending","Normal"
1170,3766,"2024-06-21","Express","Shipped","Fast"
1171,2870,"2025-01-14","Standard","Shipped","Normal"
1172,4295,"2023-08-22","Express","Delivered","Fast"
1173,3081,"2025-07-08","Standard","Shipped","Normal"
1174,3890,"2024-10-06","Standard","Lost","Normal"
1175,400,"2023-08-19","Standard","Pending","Normal"
1176,1772,"2024-12-10","Standard","Delivered","Normal"
1177,3173,"2024-08-01","Standard","Delivered","Normal"
1178,2684,"2025-03-20","Standard","Delivered","Normal"
1179,3400,"2023-11-07","Same-day","Pending","Fast"
1180,1202,"2023-07-21","Standard","Lost","Normal"
1181,423,"2025-05-08","Same-day","Shipped","Fast"
1182,1592,"2025-05-22","Same-day","Shipped","Fast"
1183,3461,"2024-03-28","Standard","Lost","Normal"
1184,1767,"2024-12-25","Same-day","Shipped","Fast"
1185,2079,"2025-04-28","Standard","Pending","Normal"
1186,2491,"2024-08-26","Standard","Pending","Normal"
1187,2305,"2024-05-28","Standard","Delivered","Normal"
1188,1731,"2024-03-14","Standard","Lost","Normal"
1189,4876,"2024-05-06","Express","Shipped","Fast"
1190,2115,"2024-04-15","Same-day","Lost","Fast"
1191,3302,"2024-12-23","Express","Pending","Fast"
1192,4168,"2024-04-25","Same-day","Lost","Fast"
1193,4897,"2023-12-25","Standard","Pending","Normal"
1194,3093,"2024-05-29","Standard","Delivered","Normal"
1195,2004,"2025-02-04","Same-day","Shipped","Fast"
1196,1906,"2024-04-19","Same-day","Lost","Fast"
1197,860,"2024-07-31","Same-day","Delivered","Fast"
1198,4401,"2025-01-26","Standard","Pending","Normal"
1199,590,"2024-11-04","Same-day","Shipped","Fast"
1200,1234,"2024-07-18","Same-day","Lost","Fast"
1201,1608,"2023-12-20","Same-day","Shipped","Fast"
1202,1822,"2024-01-15","Same-day","Pending","Fast"
1203,3038,"2023-09-06","Same-day","Pending","Fast"
1204,3603,"2025-01-23","Standard","Delivered","Normal"
1205,3455,"2024-11-21","Same-day","Shipped","Fast"
1206,728,"2024-03-31","Express","Pending","Fast"
1207,3906,"2023-09-15","Same-day","Delivered","Fast"
1208,392,"2025-01-18","Express","Pending","Fast"
1209,3675,"2023-09-27","Express","Delivered","Fast"
1210,1801,"2023-08-03","Express","Delivered","Fast"
1211,1017,"2023-11-29","Standard","Pending","Normal"
1212,3658,"2025-05-30","Standard","Lost","Normal"
1213,2470,"2023-08-13","Standard","Delivered","Normal"
1214,2294,"2024-01-24","Same-day","Pending","Fast"
1215,2928,"2023-12-22","Standard","Pending","Normal"
1216,3777,"2024-07-01","Same-day","Lost","Fast"
1217,3782,"2023-10-08","Same-day","Shipped","Fast"
1218,3507,"2024-06-01","Same-day","Lost","Fast"
1219,1418,"2024-04-19","Standard","Delivered","Normal"
1220,3388,"2024-07-23","Same-day","Lost","Fast"
1221,1114,"2025-07-18","Standard","Delivered","Normal"
1222,3180,"2024-06-08","Standard","Delivered","Normal"
1223,2008,"2024-12-07","Same-day","Delivered","Fast"
1224,3215,"2024-11-08","Standard","Delivered","Normal"
1225,3642,"2024-01-02","Standard","Delivered","Normal"
1226,4409,"2023-12-06","Express","Lost","Fast"
1227,2566,"2025-06-25","Express","Shipped","Fast"
1228,338,"2024-05-30","Same-day","Pending","Fast"
1229,4174,"2025-05-12","Same-day","Lost","Fast"
1230,4541,"2024-12-03","Same-day","Pending","Fast"
1231,4960,"2025-06-08","Standard","Shipped","Normal"
1232,4001,"2024-09-06","Standard","Lost","Normal"
1233,4063,"2025-06-17","Express","Delivered","Fast"
1234,2171,"2023-12-20","Standard","Pending","Normal"
1235,4062,"2024-08-25","Standard","Lost","Normal"
1236,3067,"2024-07-06","Express","Shipped","Fast"
1237,2234,"2024-10-01","Same-day","Pending","Fast"
1238,2350,"2024-03-19","Express","Pending","Fast"
1239,1962,"2024-07-04","Express","Pending","Fast"
1240,2337,"2023-08-27","Standard","Delivered","Normal"
1241,4116,"2024-10-23","Express","Shipped","Fast"
1242,2739,"2024-05-12","Same-day","Pending","Fast"
1243,1134,"2024-01-09","Same-day","Pending","Fast"
1244,4813,"2025-06-24","Standard","Pending","Normal"
1245,2902,"2024-03-09","Express","Lost","Fast"
1246,1559,"2025-03-19","Standard","Pending","Normal"
1247,3655,"2023-10-29","Standard","Lost","Normal"
1248,3766,"2025-06-25","Same-day","Lost","Fast"
1249,2079,"2024-07-02","Standard","Shipped","Normal"
1250,226,"2023-12-23","Same-day","Lost","Fast"
1251,1967,"2024-06-16","Same-day","Lost","Fast"
1252,3902,"2025-04-24","Same-day","Delivered","Fast"
1253,3190,"2023-09-22","Standard","Shipped","Normal"
1254,3816,"2024-10-05","Same-day","Delivered","Fast"
1255,3440,"2025-04-08","Standard","Shipped","Normal"
1256,4568,"2024-10-27","Same-day","Delivered","Fast"
1257,3894,"2023-09-09","Express","Lost","Fast"
1258,2306,"2023-09-24","Express","Delivered","Fast"
1259,205,"2023-09-23","Standard","Delivered","Normal"
1260,2173,"2023-11-18","Express","Shipped","Fast"
1261,1232,"2023-12-31","Standard","Shipped","Normal"
1262,185,"2024-06-17","Standard","Pending","Normal"
1263,3933,"2024-12-30","Standard","Lost","Normal"
1264,3451,"2024-02-21","Same-day","Pending","Fast"
1265,3828,"2024-06-17","Standard","Shipped","Normal"
1266,2906,"2023-11-16","Standard","Shipped","Normal"
1267,660,"2023-10-12","Standard","Shipped","Normal"
1268,2525,"2023-12-06","Standard","Delivered","Normal"
1269,4889,"2024-04-21","Express","Shipped","Fast"
1270,3647,"2025-05-08","Express","Pending","Fast"
1271,2874,"2023-08-15","Same-day","Pending","Fast"
1272,1637,"2025-01-06","Express","Pending","Fast"
1273,2442,"2024-02-23","Express","Shipped","Fast"
1274,724,"2025-03-05","Standard","Lost","Normal"
1275,623,"2024-02-05","Express","Delivered","Fast"
1276,2598,"2024-01-14","Standard","Delivered","Normal"
1277,3860,"2024-12-18","Express","Delivered","Fast"
1278,1702,"2024-01-13","Same-day","Pending","Fast"
1279,1704,"2024-02-25","Express","Pending","Fast"
1280,487,"2024-06-19","Express","Lost","Fast"
1281,4820,"2023-11-12","Express","Lost","Fast"
1282,477,"2025-01-19","Standard","Lost","Normal"
1283,265,"2024-10-06","Same-day","Lost","Fast"
1284,382,"2025-02-18","Express","Delivered","Fast"
1285,4678,"2025-05-11","Express","Pending","Fast"
1286,2276,"2025-06-04","Express","Pending","Fast"
1287,275,"2025-01-13","Same-day","Pending","Fast"
1288,3351,"2024-04-27","Standard","Delivered","Normal"
1289,3053,"2024-11-04","Express","Delivered","Fast"
1290,3264,"2024-01-07","Same-day","Pending","Fast"
1291,2926,"2024-05-10","Same-day","Pending","Fast"
1292,4148,"2024-09-02","Express","Lost","Fast"
1293,1229,"2024-09-13","Standard","Pending","Normal"
1294,1984,"2023-12-23","Standard","Pending","Normal"
1295,2380,"2024-01-02","Standard","Lost","Normal"
1296,2158,"2025-03-03","Express","Pending","Fast"
1297,2814,"2024-05-16","Same-day","Lost","Fast"
1298,2001,"2024-05-04","Standard","Pending","Normal"
1299,4304,"2024-02-07","Standard","Shipped","Normal"
1300,2733,"2024-06-15","Express","Delivered","Fast"
1301,3463,"2024-07-12","Standard","Shipped","Normal"
1302,2994,"2024-05-26","Standard","Shipped","Normal"
1303,2016,"2025-03-19","Same-day","Shipped","Fast"
1304,2802,"2024-11-29","Express","Pending","Fast"
1305,1477,"2023-08-04","Same-day","Lost","Fast"
1306,1641,"2024-05-02","Same-day","Shipped","Fast"
1307,1067,"2024-03-24","Same-day","Lost","Fast"
1308,3372,"2024-09-19","Standard","Lost","Normal"
1309,3522,"2024-12-26","Standard","Pending","Normal"
1310,262,"2025-04-02","Same-day","Shipped","Fast"
1311,111,"2024-04-14","Same-day","Delivered","Fast"
1312,302,"2024-04-17","Same-day","Pending","Fast"
1313,2132,"2025-06-25","Standard","Delivered","Normal"
1314,3821,"2023-09-19","Express","Lost","Fast"
1315,237,"2024-12-26","Same-day","Lost","Fast"
1316,4675,"2024-01-29","Express","Delivered","Fast"
1317,645,"2025-03-21","Standard","Pending","Normal"
1318,575,"2025-04-23","Standard","Lost","Normal"
1319,491,"2025-02-21","Same-day","Shipped","Fast"
1320,2012,"2024-04-13","Same-day","Delivered","Fast"
1321,2521,"2025-01-07","Express","Delivered","Fast"
1322,4792,"2025-01-31","Standard","Lost","Normal"
1323,2963,"2023-08-24","Standard","Pending","Normal"
1324,3453,"2024-01-30","Express","Shipped","Fast"
1325,638,"2024-03-26","Express","Shipped","Fast"
1326,645,"2025-07-20","Express","Delivered","Fast"
1327,4916,"2024-06-24","Standard","Pending","Normal"
1328,4898,"2023-11-04","Standard","Shipped","Normal"
1329,4112,"2025-07-13","Express","Pending","Fast"
1330,4651,"2024-08-09","Same-day","Shipped","Fast"
1331,4847,"2024-02-03","Same-day","Lost","Fast"
1332,3270,"2025-07-12","Express","Pending","Fast"
1333,2576,"2024-04-29","Express","Shipped","Fast"
1334,659,"2024-05-10","Same-day","Delivered","Fast"
1335,711,"2024-05-27","Express","Shipped","Fast"
1336,4487,"2024-01-13","Express","Lost","Fast"
1337,834,"2024-06-19","Same-day","Pending","Fast"
1338,2608,"2025-02-04","Same-day","Pending","Fast"
1339,4116,"2024-08-21","Standard","Lost","Normal"
1340,1762,"2024-07-31","Same-day","Lost","Fast"
1341,3669,"2025-05-23","Standard","Pending","Normal"
1342,2267,"2024-10-16","Standard","Shipped","Normal"
1343,3292,"2025-04-19","Standard","Pending","Normal"
1344,3493,"2025-01-23","Same-day","Lost","Fast"
1345,627,"2024-10-15","Express","Pending","Fast"
1346,2556,"2024-02-13","Standard","Delivered","Normal"
1347,2511,"2023-08-25","Standard","Shipped","Normal"
1348,3854,"2024-06-18","Express","Delivered","Fast"
1349,3676,"2024-05-22","Standard","Delivered","Normal"
1350,3483,"2024-11-13","Same-day","Shipped","Fast"
1351,762,"2023-10-23","Same-day","Pending","Fast"
1352,4184,"2024-07-31","Express","Lost","Fast"
1353,3346,"2024-11-13","Same-day","Delivered","Fast"
1354,4188,"2024-02-20","Standard","Shipped","Normal"
1355,3989,"2024-07-27","Standard","Pending","Normal"
1356,1,"2024-11-11","Same-day","Lost","Fast"
1357,2300,"2023-11-16","Express","Shipped","Fast"
1358,3782,"2023-11-07","Standard","Shipped","Normal"
1359,4781,"2024-03-08","Express","Shipped","Fast"
1360,3372,"2025-01-25","Same-day","Lost","Fast"
1361,3276,"2024-08-13","Standard","Pending","Normal"
1362,3141,"2024-08-02","Same-day","Pending","Fast"
1363,4486,"2025-05-27","Express","Shipped","Fast"
1364,1207,"2025-03-20","Standard","Lost","Normal"
1365,130,"2024-11-15","Standard","Shipped","Normal"
1366,3055,"2023-07-29","Standard","Pending","Normal"
1367,1091,"2025-01-09","Standard","Shipped","Normal"
1368,3022,"2025-04-28","Express","Delivered","Fast"
1369,3311,"2024-08-03","Standard","Delivered","Normal"
1370,2811,"2024-12-18","Standard","Pending","Normal"
1371,4919,"2024-09-18","Express","Pending","Fast"
1372,4802,"2025-06-01","Express","Delivered","Fast"
1373,3072,"2023-12-23","Same-day","Lost","Fast"
1374,138,"2024-03-07","Express","Shipped","Fast"
1375,4316,"2024-09-13","Express","Pending","Fast"
1376,556,"2025-03-21","Express","Pending","Fast"
1377,2263,"2025-02-23","Same-day","Pending","Fast"
1378,1345,"2025-05-26","Same-day","Shipped","Fast"
1379,1907,"2024-01-26","Same-day","Delivered","Fast"
1380,1897,"2024-01-05","Same-day","Lost","Fast"
1381,30,"2024-04-30","Same-day","Delivered","Fast"
1382,1479,"2025-06-18","Standard","Shipped","Normal"
1383,4705,"2024-10-29","Same-day","Lost","Fast"
1384,1524,"2025-05-08","Same-day","Delivered","Fast"
1385,4067,"2025-05-31","Standard","Lost","Normal"
1386,3464,"2024-04-30","Standard","Shipped","Normal"
1387,2342,"2024-07-25","Express","Pending","Fast"
1388,143,"2024-11-26","Express","Pending","Fast"
1389,2585,"2025-07-05","Same-day","Pending","Fast"
1390,2280,"2024-03-11","Same-day","Shipped","Fast"
1391,3942,"2023-11-24","Standard","Shipped","Normal"
1392,1983,"2024-07-05","Same-day","Lost","Fast"
1393,4383,"2025-06-04","Express","Shipped","Fast"
1394,3460,"2023-09-03","Standard","Delivered","Normal"
1395,1432,"2024-08-09","Standard","Shipped","Normal"
1396,1275,"2024-09-27","Same-day","Lost","Fast"
1397,550,"2024-07-16","Express","Delivered","Fast"
1398,2076,"2024-11-08","Same-day","Shipped","Fast"
1399,449,"2024-10-06","Same-day","Pending","Fast"
1400,2905,"2025-01-02","Standard","Delivered","Normal"
1401,551,"2023-07-29","Same-day","Shipped","Fast"
1402,1772,"2024-11-05","Express","Pending","Fast"
1403,723,"2023-08-17","Same-day","Shipped","Fast"
1404,4358,"2025-07-04","Express","Shipped","Fast"
1405,3183,"2025-06-19","Same-day","Lost","Fast"
1406,3081,"2025-05-21","Express","Lost","Fast"
1407,265,"2025-01-25","Express","Lost","Fast"
1408,2526,"2023-10-28","Express","Delivered","Fast"
1409,3970,"2024-10-03","Standard","Lost","Normal"
1410,2520,"2024-01-02","Standard","Delivered","Normal"
1411,3696,"2024-02-18","Same-day","Delivered","Fast"
1412,1996,"2024-07-29","Standard","Delivered","Normal"
1413,1747,"2023-11-07","Same-day","Shipped","Fast"
1414,4521,"2024-04-22","Express","Delivered","Fast"
1415,4840,"2023-09-12","Standard","Shipped","Normal"
1416,740,"2024-12-30","Standard","Delivered","Normal"
1417,2076,"2024-11-15","Express","Delivered","Fast"
1418,3718,"2024-06-25","Same-day","Shipped","Fast"
1419,4099,"2024-09-27","Standard","Delivered","Normal"
1420,2782,"2024-09-15","Standard","Lost","Normal"
1421,1374,"2024-06-19","Express","Pending","Fast"
1422,2140,"2025-02-06","Express","Pending","Fast"
1423,3730,"2025-05-11","Same-day","Lost","Fast"
1424,2452,"2024-08-24","Same-day","Lost","Fast"
1425,2478,"2023-11-19","Standard","Delivered","Normal"
1426,1051,"2024-11-17","Same-day","Lost","Fast"
1427,22,"2023-08-18","Same-day","Pending","Fast"
1428,1540,"2024-11-02","Express","Lost","Fast"
1429,2682,"2024-06-08","Standard","Pending","Normal"
1430,4962,"2024-08-19","Express","Lost","Fast"
1431,2151,"2024-01-01","Same-day","Delivered","Fast"
1432,2311,"2025-04-29","Same-day","Shipped","Fast"
1433,845,"2024-10-29","Standard","Shipped","Normal"
1434,137,"2025-06-13","Standard","Delivered","Normal"
1435,1364,"2025-06-04","Standard","Pending","Normal"
1436,1851,"2024-02-14","Same-day","Shipped","Fast"
1437,4134,"2025-06-28","Standard","Delivered","Normal"
1438,3940,"2024-08-19","Standard","Pending","Normal"
1439,1849,"2023-08-03","Express","Delivered","Fast"
1440,2928,"2023-12-16","Same-day","Delivered","Fast"
1441,673,"2023-09-15","Standard","Shipped","Normal"
1442,4402,"2024-04-21","Express","Delivered","Fast"
1443,3329,"2023-08-03","Express","Lost","Fast"
1444,3389,"2023-10-13","Express","Pending","Fast"
1445,2541,"2024-04-01","Express","Shipped","Fast"
1446,4071,"2024-09-05","Same-day","Lost","Fast"
1447,3925,"2023-08-17","Express","Lost","Fast"
1448,2478,"2024-08-20","Express","Delivered","Fast"
1449,783,"2025-04-26","Express","Pending","Fast"
1450,1670,"2024-04-01","Express","Delivered","Fast"
1451,739,"2023-09-11","Same-day","Pending","Fast"
1452,1668,"2023-11-23","Express","Delivered","Fast"
1453,3003,"2024-12-02","Same-day","Shipped","Fast"
1454,626,"2024-05-27","Express","Lost","Fast"
1455,4141,"2024-06-11","Same-day","Lost","Fast"
1456,1540,"2024-04-17","Express","Lost","Fast"
1457,71,"2024-08-22","Standard","Delivered","Normal"
1458,1158,"2023-09-12","Express","Shipped","Fast"
1459,2911,"2024-10-01","Standard","Lost","Normal"
1460,4212,"2025-04-22","Express","Lost","Fast"
1461,3063,"2024-07-20","Standard","Delivered","Normal"
1462,1603,"2024-03-07","Standard","Delivered","Normal"
1463,2192,"2024-01-11","Standard","Lost","Normal"
1464,3428,"2024-09-26","Express","Delivered","Fast"
1465,2608,"2025-06-13","Standard","Shipped","Normal"
1466,4379,"2024-11-10","Standard","Shipped","Normal"
1467,644,"2024-07-07","Express","Shipped","Fast"
1468,2862,"2025-01-27","Express","Lost","Fast"
1469,1721,"2024-04-02","Express","Lost","Fast"
1470,4320,"2025-01-18","Standard","Lost","Normal"
1471,4408,"2024-08-11","Same-day","Pending","Fast"
1472,2988,"2023-11-13","Express","Lost","Fast"
1473,1375,"2024-12-09","Express","Delivered","Fast"
1474,975,"2023-12-19","Express","Shipped","Fast"
1475,4006,"2024-08-06","Standard","Lost","Normal"
1476,4509,"2023-07-26","Standard","Pending","Normal"
1477,4935,"2024-11-04","Express","Lost","Fast"
1478,2686,"2024-04-29","Express","Delivered","Fast"
