order_id,shipping_id,shipping_method,shipping_status,shipping_date
ORD10497,SHP9497,Express,Delivered,2024-05-11
ORD10498,SHP9498,Standard,Delivered,2024-09-18
ORD10499,SHP9499,Express,Delivered,2024-09-16
ORD10500,SHP9500,Express,Delivered,2024-10-19
ORD10501,SHP9501,Standard,Delivered,2024-01-08
ORD10502,SHP9502,Express,Delivered,2025-05-21
ORD10503,SHP9503,Same Day,Delivered,2025-07-01
ORD10504,SHP9504,Same Day,Delivered,2025-06-30
ORD10505,SHP9505,Express,Delivered,2024-10-17
ORD10506,SHP9506,Standard,Delivered,2025-03-12
ORD10507,SHP9507,Standard,Delivered,2025-03-21
ORD10508,SHP9508,Same Day,In Transit,2023-04-12
ORD10509,SHP9509,Express,Delivered,2023-11-16
ORD10510,SHP9510,Standard,Delivered,2023-05-05
ORD10511,SHP9511,Standard,Delivered,2023-11-19
ORD10512,SHP9512,Same Day,Delivered,2025-03-11
ORD10513,SHP9513,Same Day,Delivered,2024-08-20
ORD10514,SHP9514,Standard,Delivered,2024-05-11
ORD10515,SHP9515,Same Day,Delivered,2024-04-05
ORD10516,SHP9516,Standard,In Transit,2024-06-09
ORD10517,SHP9517,Express,Delivered,2024-06-07
ORD10518,SHP9518,Same Day,Delivered,2024-12-23
ORD10519,SHP9519,Same Day,In Transit,2023-11-15
ORD10520,SHP9520,Express,Delivered,2024-12-13
ORD10521,SHP9521,Standard,Delivered,2024-12-14
ORD10522,SHP9522,Standard,Delivered,2024-06-29
ORD10523,SHP9523,Same Day,Delivered,2024-04-29
ORD10524,SHP9524,Standard,Delivered,2023-01-24
ORD10525,SHP9525,Standard,Cancelled,2024-07-17
ORD10526,SHP9526,Express,Delivered,2023-05-15
ORD10527,SHP9527,Express,Delivered,2023-10-26
ORD10528,SHP9528,Express,Delivered,2025-06-19
ORD10529,SHP9529,Same Day,Delivered,2023-05-14
ORD10530,SHP9530,Express,Failed,2023-12-27
ORD10531,SHP9531,Express,Delivered,2023-03-01
ORD10532,SHP9532,Standard,In Transit,2025-06-11
ORD10533,SHP9533,Express,Delivered,2025-03-04
ORD10534,SHP9534,Same Day,In Transit,2024-01-28
ORD10535,SHP9535,Express,Delivered,2023-09-27
ORD10536,SHP9536,Same Day,In Transit,2023-08-07
ORD10537,SHP9537,Standard,Delivered,2024-04-09
ORD10538,SHP9538,Standard,Delivered,2024-04-03
ORD10539,SHP9539,Express,Delivered,2025-03-13
ORD10540,SHP9540,Standard,Delivered,2023-02-18
ORD10541,SHP9541,Express,In Transit,2024-08-12
ORD10542,SHP9542,Standard,Delivered,2025-05-15
ORD10543,SHP9543,Same Day,In Transit,2023-10-07
ORD10544,SHP9544,Standard,Delivered,2025-04-18
ORD10545,SHP9545,Express,Delivered,2025-01-27
ORD10546,SHP9546,Express,In Transit,2023-05-11
ORD10547,SHP9547,Express,Delivered,2023-12-18
ORD10548,SHP9548,Same Day,Delivered,2024-12-09
ORD10549,SHP9549,Standard,Cancelled,2024-06-28
ORD10550,SHP9550,Express,Delivered,2023-04-18
ORD10551,SHP9551,Same Day,Delivered,2025-07-02
ORD10552,SHP9552,Same Day,Delivered,2024-12-18
ORD10553,SHP9553,Same Day,In Transit,2023-01-06
ORD10554,SHP9554,Standard,Cancelled,2025-02-01
ORD10555,SHP9555,Standard,Cancelled,2024-08-10
ORD10556,SHP9556,Standard,Delivered,2024-03-08
ORD10557,SHP9557,Same Day,Delivered,2023-11-08
ORD10558,SHP9558,Standard,Delivered,2025-07-02
ORD10559,SHP9559,Express,Delivered,2024-06-11
ORD10560,SHP9560,Same Day,Delivered,2023-02-28
ORD10561,SHP9561,Standard,Delivered,2024-06-08
ORD10562,SHP9562,Same Day,In Transit,2023-11-30
ORD10563,SHP9563,Same Day,In Transit,2024-07-13
ORD10564,SHP9564,Standard,Delivered,2023-11-27
ORD10565,SHP9565,Same Day,Cancelled,2023-04-30
ORD10566,SHP9566,Standard,Cancelled,2023-05-28
ORD10567,SHP9567,Standard,Delivered,2023-06-17
ORD10568,SHP9568,Standard,Delivered,2024-01-18
ORD10569,SHP9569,Same Day,Delivered,2023-05-20
ORD10570,SHP9570,Same Day,Delivered,2024-09-23
ORD10571,SHP9571,Standard,Delivered,2023-10-29
ORD10572,SHP9572,Same Day,Delivered,2023-10-06
ORD10573,SHP9573,Standard,Failed,2025-03-03
ORD10574,SHP9574,Express,Delivered,2025-05-02
ORD10575,SHP9575,Same Day,Delivered,2025-04-10
ORD10576,SHP9576,Same Day,Delivered,2023-06-28
ORD10577,SHP9577,Express,Delivered,2025-04-27
ORD10578,SHP9578,Express,Delivered,2023-12-23
ORD10579,SHP9579,Express,Delivered,2023-06-04
ORD10580,SHP9580,Standard,Cancelled,2023-07-26
ORD10581,SHP9581,Standard,Delivered,2025-05-31
ORD10582,SHP9582,Express,In Transit,2023-04-27
ORD10583,SHP9583,Standard,Delivered,2024-11-07
ORD10584,SHP9584,Same Day,Delivered,2024-07-12
ORD10585,SHP9585,Express,Delivered,2025-01-31
ORD10586,SHP9586,Same Day,Delivered,2023-03-14
ORD10587,SHP9587,Standard,In Transit,2024-03-22
ORD10588,SHP9588,Express,Delivered,2024-03-24
ORD10589,SHP9589,Standard,Delivered,2023-11-28
ORD10590,SHP9590,Same Day,Delivered,2025-04-29
ORD10591,SHP9591,Standard,Delivered,2024-12-10
ORD10592,SHP9592,Same Day,Delivered,2024-08-29
ORD10593,SHP9593,Standard,Delivered,2024-09-20
ORD10594,SHP9594,Same Day,Delivered,2025-06-01
ORD10595,SHP9595,Standard,Delivered,2023-12-26
ORD10596,SHP9596,Express,In Transit,2023-05-29
ORD10597,SHP9597,Express,Delivered,2023-10-04
ORD10598,SHP9598,Standard,Delivered,2024-05-29
ORD10599,SHP9599,Same Day,Delivered,2023-07-03
ORD10600,SHP9600,Standard,Delivered,2025-01-25
ORD10601,SHP9601,Express,Delivered,2025-04-22
ORD10602,SHP9602,Same Day,Delivered,2025-04-13
ORD10603,SHP9603,Standard,Delivered,2024-04-27
ORD10604,SHP9604,Standard,Delivered,2025-04-23
ORD10605,SHP9605,Same Day,Delivered,2024-02-19
ORD10606,SHP9606,Standard,Delivered,2023-06-04
ORD10607,SHP9607,Express,Delivered,2023-04-16
ORD10608,SHP9608,Express,In Transit,2023-03-19
ORD10609,SHP9609,Same Day,Delivered,2023-05-11
ORD10610,SHP9610,Standard,Delivered,2024-12-14
ORD10611,SHP9611,Standard,Delivered,2024-10-30
ORD10612,SHP9612,Express,Delivered,2024-07-27
ORD10613,SHP9613,Same Day,Delivered,2025-03-06
ORD10614,SHP9614,Same Day,Failed,2023-12-12
ORD10615,SHP9615,Same Day,Failed,2024-06-16
ORD10616,SHP9616,Express,Delivered,2023-06-10
ORD10617,SHP9617,Express,Delivered,2024-06-25
ORD10618,SHP9618,Same Day,Delivered,2024-03-03
ORD10619,SHP9619,Same Day,Delivered,2024-11-13
ORD10620,SHP9620,Standard,Cancelled,2023-01-28
ORD10621,SHP9621,Standard,In Transit,2023-02-21
ORD10622,SHP9622,Same Day,Delivered,2024-06-12
ORD10623,SHP9623,Express,Delivered,2025-01-01
ORD10624,SHP9624,Express,Delivered,2025-04-17
ORD10625,SHP9625,Standard,Delivered,2024-12-10
ORD10626,SHP9626,Same Day,Delivered,2023-05-25
ORD10627,SHP9627,Express,Delivered,2024-08-13
ORD10628,SHP9628,Express,Delivered,2024-10-31
ORD10629,SHP9629,Express,Delivered,2024-08-12
ORD10630,SHP9630,Express,Delivered,2024-02-29
ORD10631,SHP9631,Standard,In Transit,2024-11-13
ORD10632,SHP9632,Express,In Transit,2025-03-13
ORD10633,SHP9633,Express,Delivered,2023-03-28
ORD10634,SHP9634,Same Day,Delivered,2024-02-23
ORD10635,SHP9635,Same Day,Delivered,2024-11-27
ORD10636,SHP9636,Standard,Cancelled,2024-04-30
ORD10637,SHP9637,Standard,Delivered,2024-04-05
ORD10638,SHP9638,Standard,Failed,2025-04-09
ORD10639,SHP9639,Standard,Delivered,2023-10-28
ORD10640,SHP9640,Express,Delivered,2023-04-23
ORD10641,SHP9641,Same Day,Delivered,2023-08-23
ORD10642,SHP9642,Express,Delivered,2023-04-09
ORD10643,SHP9643,Express,Delivered,2024-11-14
ORD10644,SHP9644,Express,Delivered,2024-01-17
ORD10645,SHP9645,Same Day,In Transit,2023-06-06
ORD10646,SHP9646,Standard,Delivered,2024-02-26
ORD10647,SHP9647,Standard,Delivered,2023-04-20
ORD10648,SHP9648,Same Day,Delivered,2024-12-11
ORD10649,SHP9649,Same Day,Delivered,2023-11-29
ORD10650,SHP9650,Standard,Delivered,2024-03-18
ORD10651,SHP9651,Express,Delivered,2023-05-17
ORD10652,SHP9652,Standard,Cancelled,2025-05-21
ORD10653,SHP9653,Same Day,Delivered,2024-01-18
ORD10654,SHP9654,Standard,In Transit,2023-05-22
ORD10655,SHP9655,Standard,Delivered,2025-04-24
ORD10656,SHP9656,Standard,In Transit,2023-10-03
ORD10657,SHP9657,Same Day,Delivered,2024-07-09
ORD10658,SHP9658,Same Day,Delivered,2024-02-01
ORD10659,SHP9659,Standard,Delivered,2024-07-14
ORD10660,SHP9660,Standard,In Transit,2024-04-13
ORD10661,SHP9661,Express,Delivered,2024-11-11
ORD10662,SHP9662,Express,Cancelled,2024-03-30
ORD10663,SHP9663,Standard,Delivered,2023-11-30
ORD10664,SHP9664,Same Day,Delivered,2023-09-12
ORD10665,SHP9665,Express,Delivered,2024-11-12
ORD10666,SHP9666,Standard,Delivered,2023-10-18
ORD10667,SHP9667,Express,Failed,2023-10-04
ORD10668,SHP9668,Express,Delivered,2023-01-23
ORD10669,SHP9669,Express,Delivered,2023-08-29
ORD10670,SHP9670,Same Day,Delivered,2023-09-28
ORD10671,SHP9671,Standard,Delivered,2024-02-23
ORD10672,SHP9672,Same Day,Delivered,2023-11-11
ORD10673,SHP9673,Same Day,Delivered,2023-02-01
ORD10674,SHP9674,Express,Delivered,2025-04-08
ORD10675,SHP9675,Standard,Delivered,2023-04-19
ORD10676,SHP9676,Express,Delivered,2024-11-13
ORD10677,SHP9677,Same Day,Delivered,2023-07-07
ORD10678,SHP9678,Same Day,Delivered,2023-05-11
ORD10679,SHP9679,Standard,In Transit,2023-08-02
ORD10680,SHP9680,Same Day,Failed,2024-02-20
ORD10681,SHP9681,Same Day,In Transit,2023-10-10
ORD10682,SHP9682,Standard,Cancelled,2023-09-11
ORD10683,SHP9683,Express,Delivered,2023-01-24
ORD10684,SHP9684,Standard,Delivered,2024-12-17
ORD10685,SHP9685,Same Day,Delivered,2025-01-04
ORD10686,SHP9686,Standard,Delivered,2023-05-17
ORD10687,SHP9687,Express,Delivered,2023-08-16
ORD10688,SHP9688,Same Day,In Transit,2023-01-09
ORD10689,SHP9689,Express,Delivered,2023-08-28
ORD10690,SHP9690,Express,Delivered,2025-05-09
ORD10691,SHP9691,Standard,Delivered,2024-04-10
ORD10692,SHP9692,Express,Delivered,2023-08-17
ORD10693,SHP9693,Standard,Delivered,2024-10-20
ORD10694,SHP9694,Standard,Delivered,2024-05-15
ORD10695,SHP9695,Express,Delivered,2024-06-05
ORD10696,SHP9696,Standard,Failed,2024-12-04
ORD10697,SHP9697,Standard,Cancelled,2025-05-14
ORD10698,SHP9698,Express,Delivered,2024-11-10
ORD10699,SHP9699,Same Day,Delivered,2023-05-24
ORD10700,SHP9700,Standard,Delivered,2023-10-06
ORD10701,SHP9701,Standard,Delivered,2023-10-24
ORD10702,SHP9702,Express,Delivered,2023-02-28
ORD10703,SHP9703,Standard,Failed,2024-11-23
ORD10704,SHP9704,Express,Delivered,2023-04-25
ORD10705,SHP9705,Same Day,Delivered,2024-12-20
ORD10706,SHP9706,Same Day,Delivered,2024-10-15
ORD10707,SHP9707,Express,Delivered,2023-01-06
ORD10708,SHP9708,Same Day,Delivered,2024-11-03
ORD10709,SHP9709,Express,Delivered,2024-11-16
ORD10710,SHP9710,Standard,Delivered,2025-05-22
ORD10711,SHP9711,Same Day,Delivered,2023-02-18
ORD10712,SHP9712,Standard,Cancelled,2023-04-05
ORD10713,SHP9713,Standard,In Transit,2024-07-17
ORD10714,SHP9714,Express,Delivered,2025-01-22
ORD10715,SHP9715,Same Day,Delivered,2025-05-09
ORD10716,SHP9716,Same Day,Delivered,2023-08-06
ORD10717,SHP9717,Standard,Delivered,2024-03-15
ORD10718,SHP9718,Standard,In Transit,2025-05-06
ORD10719,SHP9719,Express,Delivered,2024-05-24
ORD10720,SHP9720,Same Day,Delivered,2025-04-21
ORD10721,SHP9721,Express,Delivered,2024-10-14
ORD10722,SHP9722,Express,In Transit,2023-07-28
ORD10723,SHP9723,Express,Failed,2024-01-19
ORD10724,SHP9724,Same Day,Delivered,2023-03-16
ORD10725,SHP9725,Express,Delivered,2024-05-31
ORD10726,SHP9726,Same Day,Delivered,2023-03-21
ORD10727,SHP9727,Express,Delivered,2025-04-24
ORD10728,SHP9728,Standard,Delivered,2023-03-20
ORD10729,SHP9729,Express,Failed,2025-03-28
ORD10730,SHP9730,Express,Delivered,2025-02-11
ORD10731,SHP9731,Same Day,In Transit,2024-02-19
ORD10732,SHP9732,Standard,Cancelled,2024-09-06
ORD10733,SHP9733,Standard,Delivered,2023-04-20
ORD10734,SHP9734,Same Day,Delivered,2025-04-27
ORD10735,SHP9735,Same Day,In Transit,2024-07-07
ORD10736,SHP9736,Standard,Delivered,2024-04-24
ORD10737,SHP9737,Same Day,Delivered,2025-04-06
ORD10738,SHP9738,Standard,Delivered,2023-10-07
ORD10739,SHP9739,Express,Delivered,2023-04-03
ORD10740,SHP9740,Express,Delivered,2024-12-28
ORD10741,SHP9741,Standard,Delivered,2025-06-02
ORD10742,SHP9742,Standard,Delivered,2023-03-21
ORD10743,SHP9743,Express,Delivered,2023-03-19
ORD10744,SHP9744,Express,Delivered,2024-03-20
ORD10745,SHP9745,Standard,Delivered,2024-06-25
ORD10746,SHP9746,Same Day,Delivered,2023-09-05
ORD10747,SHP9747,Same Day,Delivered,2024-08-05
ORD10748,SHP9748,Standard,Delivered,2025-02-17
ORD10749,SHP9749,Same Day,Delivered,2024-01-21
ORD10750,SHP9750,Express,Delivered,2024-12-21
ORD10751,SHP9751,Express,Delivered,2024-07-24
ORD10752,SHP9752,Same Day,Failed,2024-12-15
ORD10753,SHP9753,Standard,Delivered,2025-01-10
ORD10754,SHP9754,Express,Delivered,2023-05-27
ORD10755,SHP9755,Express,Delivered,2025-06-15
ORD10756,SHP9756,Express,Failed,2024-01-07
ORD10757,SHP9757,Same Day,Delivered,2023-03-30
ORD10758,SHP9758,Standard,Delivered,2023-05-26
ORD10759,SHP9759,Same Day,Delivered,2023-12-20
ORD10760,SHP9760,Standard,Delivered,2024-07-03
ORD10761,SHP9761,Standard,Delivered,2023-06-06
ORD10762,SHP9762,Same Day,Delivered,2023-06-13
ORD10763,SHP9763,Express,Failed,2024-03-22
ORD10764,SHP9764,Standard,Delivered,2024-10-16
ORD10765,SHP9765,Same Day,Failed,2025-02-04
ORD10766,SHP9766,Express,Delivered,2023-11-05
ORD10767,SHP9767,Standard,Delivered,2024-09-20
ORD10768,SHP9768,Standard,In Transit,2024-10-23
ORD10769,SHP9769,Express,Delivered,2024-03-28
ORD10770,SHP9770,Standard,Delivered,2024-12-27
ORD10771,SHP9771,Same Day,Delivered,2023-08-18
ORD10772,SHP9772,Standard,In Transit,2023-02-18
ORD10773,SHP9773,Standard,Delivered,2023-09-26
ORD10774,SHP9774,Express,Delivered,2025-01-30
ORD10775,SHP9775,Same Day,Delivered,2023-01-04
ORD10776,SHP9776,Express,Failed,2024-10-02
ORD10777,SHP9777,Same Day,Cancelled,2023-09-27
ORD10778,SHP9778,Express,Delivered,2024-08-19
ORD10779,SHP9779,Standard,Delivered,2023-01-19
ORD10780,SHP9780,Same Day,Failed,2023-12-06
ORD10781,SHP9781,Same Day,Delivered,2024-04-13
ORD10782,SHP9782,Standard,Delivered,2023-03-06
ORD10783,SHP9783,Express,Delivered,2023-07-01
ORD10784,SHP9784,Same Day,Delivered,2023-03-06
ORD10785,SHP9785,Standard,Delivered,2024-07-15
ORD10786,SHP9786,Standard,Delivered,2023-11-04
ORD10787,SHP9787,Same Day,Delivered,2023-09-06
ORD10788,SHP9788,Same Day,Failed,2023-10-17
ORD10789,SHP9789,Same Day,Delivered,2025-03-09
ORD10790,SHP9790,Standard,Delivered,2023-12-02
ORD10791,SHP9791,Express,In Transit,2024-06-12
ORD10792,SHP9792,Express,Delivered,2025-05-05
ORD10793,SHP9793,Same Day,Delivered,2023-09-13
ORD10794,SHP9794,Standard,Delivered,2024-08-29
ORD10795,SHP9795,Standard,Delivered,2024-05-30
ORD10796,SHP9796,Same Day,Delivered,2025-03-06
ORD10797,SHP9797,Standard,Delivered,2024-12-19
ORD10798,SHP9798,Standard,Delivered,2024-08-29
ORD10799,SHP9799,Standard,Delivered,2025-01-12
ORD10800,SHP9800,Same Day,In Transit,2025-03-28
ORD10801,SHP9801,Same Day,Delivered,2025-04-13
ORD10802,SHP9802,Same Day,Delivered,2024-04-09
ORD10803,SHP9803,Express,Delivered,2023-07-22
ORD10804,SHP9804,Express,Delivered,2023-10-01
ORD10805,SHP9805,Same Day,Delivered,2025-01-21
ORD10806,SHP9806,Standard,Delivered,2024-07-12
ORD10807,SHP9807,Standard,Delivered,2023-03-09
ORD10808,SHP9808,Same Day,Delivered,2023-08-20
ORD10809,SHP9809,Standard,Delivered,2023-09-09
ORD10810,SHP9810,Standard,Delivered,2023-09-07
ORD10811,SHP9811,Express,Delivered,2024-08-10
ORD10812,SHP9812,Standard,Delivered,2023-06-08
ORD10813,SHP9813,Standard,Delivered,2025-01-05
ORD10814,SHP9814,Same Day,In Transit,2024-12-03
ORD10815,SHP9815,Express,Delivered,2024-07-20
ORD10816,SHP9816,Express,In Transit,2023-03-31
ORD10817,SHP9817,Standard,Cancelled,2023-11-14
ORD10818,SHP9818,Same Day,Delivered,2025-05-01
ORD10819,SHP9819,Express,Cancelled,2023-03-09
ORD10820,SHP9820,Express,Delivered,2024-10-24
ORD10821,SHP9821,Standard,In Transit,2023-01-24
ORD10822,SHP9822,Express,Delivered,2023-02-06
ORD10823,SHP9823,Same Day,Delivered,2025-04-21
ORD10824,SHP9824,Same Day,Delivered,2025-03-06
ORD10825,SHP9825,Express,Delivered,2024-07-16
ORD10826,SHP9826,Same Day,Failed,2023-03-18
ORD10827,SHP9827,Same Day,Delivered,2025-05-18
ORD10828,SHP9828,Standard,Delivered,2025-04-09
ORD10829,SHP9829,Express,Delivered,2023-12-13
ORD10830,SHP9830,Express,Delivered,2023-05-18
ORD10831,SHP9831,Standard,Delivered,2023-03-02
ORD10832,SHP9832,Standard,Delivered,2023-03-03
ORD10833,SHP9833,Standard,Delivered,2025-05-08
ORD10834,SHP9834,Standard,Delivered,2024-06-07
ORD10835,SHP9835,Same Day,Delivered,2023-10-03
ORD10836,SHP9836,Same Day,Delivered,2023-09-04
ORD10837,SHP9837,Standard,Cancelled,2023-06-29
ORD10838,SHP9838,Express,Delivered,2024-09-23
ORD10839,SHP9839,Express,Delivered,2023-11-19
ORD10840,SHP9840,Express,Delivered,2025-02-25
ORD10841,SHP9841,Standard,Delivered,2024-12-09
ORD10842,SHP9842,Same Day,Delivered,2024-10-27
ORD10843,SHP9843,Same Day,Delivered,2023-05-14
ORD10844,SHP9844,Same Day,Delivered,2023-04-16
ORD10845,SHP9845,Same Day,Delivered,2023-11-07
ORD10846,SHP9846,Express,Delivered,2025-02-26
ORD10847,SHP9847,Express,Delivered,2023-10-23
ORD10848,SHP9848,Same Day,Delivered,2024-12-27
ORD10849,SHP9849,Standard,Delivered,2024-05-15
ORD10850,SHP9850,Same Day,Delivered,2024-01-02
ORD10851,SHP9851,Same Day,Delivered,2023-12-09
ORD10852,SHP9852,Standard,Delivered,2024-08-02
ORD10853,SHP9853,Same Day,Delivered,2023-01-13
ORD10854,SHP9854,Express,Delivered,2023-02-19
ORD10855,SHP9855,Standard,Delivered,2024-05-04
ORD10856,SHP9856,Standard,Delivered,2024-09-16
ORD10857,SHP9857,Same Day,Delivered,2023-11-22
ORD10858,SHP9858,Express,Delivered,2025-01-06
ORD10859,SHP9859,Express,Delivered,2024-07-28
ORD10860,SHP9860,Express,Delivered,2025-03-11
ORD10861,SHP9861,Same Day,Delivered,2024-09-21
ORD10862,SHP9862,Same Day,Delivered,2023-05-18
ORD10863,SHP9863,Express,Delivered,2024-08-08
ORD10864,SHP9864,Same Day,Delivered,2023-03-30
ORD10865,SHP9865,Express,Failed,2023-02-27
ORD10866,SHP9866,Same Day,Delivered,2024-01-14
ORD10867,SHP9867,Standard,Delivered,2023-12-21
ORD10868,SHP9868,Standard,Delivered,2023-10-03
ORD10869,SHP9869,Same Day,Delivered,2024-05-02
ORD10870,SHP9870,Same Day,Delivered,2023-04-26
ORD10871,SHP9871,Express,Delivered,2025-05-24
ORD10872,SHP9872,Standard,Delivered,2025-06-10
ORD10873,SHP9873,Express,Failed,2023-03-19
ORD10874,SHP9874,Same Day,Delivered,2023-06-12
ORD10875,SHP9875,Express,Cancelled,2024-06-21
ORD10876,SHP9876,Express,Delivered,2024-10-07
ORD10877,SHP9877,Same Day,Delivered,2023-11-30
ORD10878,SHP9878,Standard,Delivered,2023-05-06
ORD10879,SHP9879,Express,Delivered,2023-02-12
ORD10880,SHP9880,Same Day,Delivered,2023-06-22
ORD10881,SHP9881,Express,Delivered,2024-10-08
ORD10882,SHP9882,Same Day,Delivered,2023-01-27
ORD10883,SHP9883,Same Day,Delivered,2023-10-12
ORD10884,SHP9884,Same Day,Delivered,2025-02-04
ORD10885,SHP9885,Standard,Delivered,2024-04-15
ORD10886,SHP9886,Standard,Cancelled,2024-02-09
ORD10887,SHP9887,Same Day,Delivered,2023-01-12
ORD10888,SHP9888,Standard,In Transit,2023-01-19
ORD10889,SHP9889,Express,Delivered,2025-04-02
ORD10890,SHP9890,Standard,Delivered,2025-04-17
ORD10891,SHP9891,Standard,Delivered,2023-02-27
ORD10892,SHP9892,Express,Delivered,2023-07-30
ORD10893,SHP9893,Express,Cancelled,2024-07-08
ORD10894,SHP9894,Express,Delivered,2024-09-06
ORD10895,SHP9895,Same Day,Failed,2024-12-07
ORD10896,SHP9896,Express,In Transit,2024-02-10
ORD10897,SHP9897,Express,Delivered,2023-07-15
ORD10898,SHP9898,Express,Delivered,2023-02-22
ORD10899,SHP9899,Same Day,Delivered,2024-02-01
ORD10900,SHP9900,Standard,Delivered,2024-10-18
ORD10901,SHP9901,Same Day,Delivered,2024-11-13
ORD10902,SHP9902,Standard,Delivered,2025-04-08
ORD10903,SHP9903,Express,Delivered,2024-09-16
ORD10904,SHP9904,Same Day,Delivered,2024-12-23
ORD10905,SHP9905,Same Day,Delivered,2023-11-02
ORD10906,SHP9906,Standard,In Transit,2024-09-14
ORD10907,SHP9907,Same Day,Delivered,2023-07-19
ORD10908,SHP9908,Same Day,Delivered,2024-02-26
ORD10909,SHP9909,Standard,Delivered,2024-10-27
ORD10910,SHP9910,Same Day,Delivered,2024-03-01
ORD10911,SHP9911,Same Day,Delivered,2025-01-30
ORD10912,SHP9912,Express,Cancelled,2024-10-07
ORD10913,SHP9913,Express,Cancelled,2024-09-13
ORD10914,SHP9914,Express,Failed,2024-06-11
ORD10915,SHP9915,Express,Delivered,2023-12-27
ORD10916,SHP9916,Express,Delivered,2023-05-31
ORD10917,SHP9917,Same Day,Failed,2024-01-01
ORD10918,SHP9918,Same Day,In Transit,2024-01-05
ORD10919,SHP9919,Express,Failed,2024-10-14
ORD10920,SHP9920,Standard,Delivered,2024-12-08
ORD10921,SHP9921,Express,Delivered,2024-02-11
ORD10922,SHP9922,Same Day,Delivered,2024-08-30
ORD10923,SHP9923,Standard,In Transit,2024-05-07
ORD10924,SHP9924,Express,Delivered,2023-08-18
ORD10925,SHP9925,Standard,Delivered,2024-08-02
ORD10926,SHP9926,Express,Delivered,2025-05-02
ORD10927,SHP9927,Same Day,Delivered,2024-06-23
ORD10928,SHP9928,Express,Delivered,2023-09-30
ORD10929,SHP9929,Standard,Delivered,2024-02-10
ORD10930,SHP9930,Same Day,Delivered,2025-03-04
ORD10931,SHP9931,Express,Delivered,2023-01-12
ORD10932,SHP9932,Express,Delivered,2023-11-21
ORD10933,SHP9933,Express,Failed,2024-12-15
ORD10934,SHP9934,Express,Delivered,2023-05-10
ORD10935,SHP9935,Same Day,Delivered,2023-11-08
ORD10936,SHP9936,Same Day,Delivered,2024-12-03
ORD10937,SHP9937,Express,Delivered,2024-05-29
ORD10938,SHP9938,Same Day,Delivered,2023-04-03
ORD10939,SHP9939,Standard,Cancelled,2023-12-22
ORD10940,SHP9940,Same Day,Delivered,2024-09-20
ORD10941,SHP9941,Standard,Delivered,2023-12-24
ORD10942,SHP9942,Standard,Delivered,2024-11-23
ORD10943,SHP9943,Same Day,Failed,2023-01-16
ORD10944,SHP9944,Express,Delivered,2023-09-18
ORD10945,SHP9945,Same Day,Delivered,2023-07-30
ORD10946,SHP9946,Standard,Failed,2023-10-11
ORD10947,SHP9947,Standard,Failed,2024-03-20
ORD10948,SHP9948,Same Day,Delivered,2025-04-25
ORD10949,SHP9949,Standard,Delivered,2025-04-21
ORD10950,SHP9950,Same Day,Delivered,2024-01-25
ORD10951,SHP9951,Same Day,Delivered,2024-09-11
ORD10952,SHP9952,Express,Failed,2024-05-01
ORD10953,SHP9953,Standard,Delivered,2023-05-29
ORD10954,SHP9954,Same Day,Delivered,2023-10-09
ORD10955,SHP9955,Standard,Failed,2024-06-09
ORD10956,SHP9956,Same Day,Delivered,2024-09-23
ORD10957,SHP9957,Same Day,Delivered,2024-09-03
ORD10958,SHP9958,Express,Delivered,2024-03-13
ORD10959,SHP9959,Same Day,In Transit,2023-05-28
ORD10960,SHP9960,Express,Cancelled,2023-10-18
ORD10961,SHP9961,Standard,Delivered,2024-01-26
ORD10962,SHP9962,Express,In Transit,2023-01-15
ORD10963,SHP9963,Express,Cancelled,2023-09-15
ORD10964,SHP9964,Standard,Cancelled,2023-12-16
ORD10965,SHP9965,Express,Delivered,2024-12-03
ORD10966,SHP9966,Express,Delivered,2023-12-15
ORD10967,SHP9967,Same Day,Delivered,2024-02-05
ORD10968,SHP9968,Express,Delivered,2023-07-30
ORD10969,SHP9969,Same Day,Delivered,2025-05-09
ORD10970,SHP9970,Express,Delivered,2023-06-27
ORD10971,SHP9971,Standard,Delivered,2024-04-10
ORD10972,SHP9972,Standard,Delivered,2023-10-03
ORD10973,SHP9973,Express,In Transit,2023-08-14
ORD10974,SHP9974,Same Day,In Transit,2023-06-02
ORD10975,SHP9975,Express,Delivered,2024-09-19
ORD10976,SHP9976,Same Day,Delivered,2023-07-07
ORD10977,SHP9977,Express,Delivered,2024-02-04
ORD10978,SHP9978,Standard,Delivered,2025-05-03
ORD10979,SHP9979,Standard,Delivered,2023-03-16
ORD10980,SHP9980,Same Day,In Transit,2024-02-26
ORD10981,SHP9981,Express,Delivered,2025-06-19
ORD10982,SHP9982,Same Day,In Transit,2023-10-12
ORD10983,SHP9983,Standard,Failed,2023-03-21
ORD10984,SHP9984,Same Day,Delivered,2023-12-26
ORD10985,SHP9985,Express,In Transit,2024-12-31
ORD10986,SHP9986,Same Day,Delivered,2024-05-16
ORD10987,SHP9987,Express,In Transit,2023-11-25
ORD10988,SHP9988,Express,In Transit,2024-06-21
ORD10989,SHP9989,Standard,Delivered,2024-08-03
ORD10990,SHP9990,Express,Delivered,2025-07-02
ORD10991,SHP9991,Express,Delivered,2024-03-28
ORD10992,SHP9992,Express,Delivered,2024-01-10
ORD10993,SHP9993,Same Day,Cancelled,2023-12-31
ORD10994,SHP9994,Standard,Delivered,2023-04-04
ORD10995,SHP9995,Same Day,Delivered,2023-11-23
